MarketingHomeStoreid,Store_Type,Age_30th_June,WinbackRateQ2,ChurnRateQ2,Regular_Base_PerQ2,New_Neighbor_AcquisitionQ2,WinBack_RateQ1,Churn_RateQ1,Regular_Base_PerQ1,New_Neighbor_AcquisitionQ1
38,Pre,12.53661875,0.057990712,0.135480289,0.379484659,378,0.058956149,0.120727273,0.379637437,410
8058,Post,5.059548255,0.064019449,0.145859085,0.352869246,420,0.073233002,0.131147541,0.353305966,503
8047,Pre,6.636550308,0.070683272,0.139253921,0.345843718,631,0.071868353,0.113022113,0.346122808,838
9027,Pre,13.16358658,0.05799458,0.151461613,0.325883088,584,0.054674133,0.130961876,0.325270362,645
163,Pre,13.58247775,0.03950104,0.171000441,0.344420925,142,0.071081269,0.115915363,0.343892089,309
186,Pre,9.984941821,0.052042221,0.180143885,0.241922006,492,0.051415525,0.171105964,0.241823243,532
7015,Post,5.546885695,0.063929211,0.139674379,0.316467716,892,0.06025412,0.116123269,0.316990357,925
6,Pre,13.76317591,0.060512577,0.131147541,0.367872562,226,0.06733225,0.095845331,0.372449739,218
108,Pre,19.78370979,0.056889353,0.163122633,0.308537464,360,0.058568044,0.147280093,0.309362891,371
106,Pre,20.0054757,0.047453266,0.190713929,0.232957845,518,0.048524787,0.170110887,0.23264998,646
4043,Pre,16.80492813,0.061825207,0.139642621,0.340457443,891,0.076923077,0.140848214,0.340009001,1058
12,Pre,12.31759069,0.055063291,0.152570233,0.298004435,643,0.052881226,0.144752358,0.29752801,790
242,Post,3.145790554,0.080220994,0.114447592,0.434181002,301,0.079333772,0.094563331,0.43823712,282
8062,Post,2.321697467,0.046894032,0.159411765,0.256429595,743,0.053546518,0.123634093,0.256565047,1107
